****** Process <22192.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %       TIME  [uS / CALLS]
--------                                                      -----  -------       ----  [----------]
inet_parse:visible_string/1                                       36     0.00          3  [      0.08]
prim_inet:open/6                                                   1     0.00          3  [      3.00]
'Elixir.GridSearchWorker':transform_params/1                       4     0.00          3  [      0.75]
'Elixir.IO':puts/2                                                 3     0.00          3  [      1.00]
inet:getaddr_tm/3                                                  4     0.00          3  [      0.75]
'Elixir.Access':get/3                                              2     0.00          3  [      1.50]
erlang:port_get_data/1                                             4     0.00          3  [      0.75]
'Elixir.GenServer':cast/2                                          5     0.00          4  [      0.80]
'Elixir.Inspect.Algebra':flex_glue/3                              16     0.00          4  [      0.25]
'Elixir.Inspect.Algebra':fold_doc/2                               24     0.00          4  [      0.17]
inet_db:res_option/1                                               8     0.00          4  [      0.50]
inet_db:lookup_socket/1                                            4     0.00          4  [      1.00]
'Elixir.Keyword':get/2                                            42     0.00          4  [      0.10]
io:request/3                                                       6     0.00          4  [      0.67]
inet:add_opt/4                                                     2     0.00          4  [      2.00]
inet:mod/6                                                         2     0.00          4  [      2.00]
