****** Process <22192.235.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
gen_udp:open1/2                                                   1     0.00         3  [      3.00]
proc_lib:init_ack/2                                               1     0.00         3  [      3.00]
'Elixir.GridSearch.Accumulator':new/1                            11     0.00         3  [      0.27]
'Elixir.IO':inspect/2                                            11     0.00         3  [      0.27]
inet:add_opt/4                                                    2     0.00         3  [      1.50]
inet:mod/6                                                        2     0.00         3  [      1.50]
'Elixir.Kernel':struct/2                                         11     0.00         3  [      0.27]
'Elixir.Kernel':struct/3                                         11     0.00         3  [      0.27]
'Elixir.List':'ascii_printable_guarded?'/2                       35     0.00         3  [      0.09]
erlang:group_leader/0                                            12     0.00         3  [      0.25]
erlang:make_ref/0                                                12     0.00         3  [      0.25]
erlang:tuple_to_list/1                                           11     0.00         3  [      0.27]
'Elixir.Float':floor/1                                           33     0.00         4  [      0.12]
'Elixir.MeasuredWorker':pending_limit/0                          11     0.00         4  [      0.36]
'Elixir.Inspect.List':'keyword?'/1                               33     0.00         4  [      0.12]
'Elixir.GenServer':cast_msg/1                                    23     0.00         4  [      0.17]
'Elixir.GenServer':whereis/1                                     13     0.00         4  [      0.31]
'Elixir.Inspect.Algebra':nest/2                                  44     0.00         4  [      0.09]
'Elixir.Inspect.Integer':base_to_value/1                         53     0.00         4  [      0.08]
'Elixir.List':'ascii_printable?'/2                               33     0.00         4  [      0.12]
'Elixir.MeasuredWorker':mark_ready/1                             12     0.00         5  [      0.42]
unicode:no_conversion_needed/3                                   12     0.00         5  [      0.42]
'Elixir.Inspect.Integer':prepend_prefix/2                        53     0.00         5  [      0.09]
'Elixir.Stream':'-zip_with/2-fun-1-'/4                           22     0.00         5  [      0.23]
os:getenv/1                                                       1     0.00         5  [      5.00]
inet:start_timer/1                                               22     0.00         5  [      0.23]
'Elixir.GenServer':call/2                                        13     0.00         6  [      0.46]
'Elixir.Inspect.Algebra':group/1                                 55     0.00         6  [      0.11]
'Elixir.Inspect.Algebra':group/2                                 55     0.00         6  [      0.11]
'Elixir.Inspect.Algebra':nest/3                                  44     0.00         6  [      0.14]
gen:call/4                                                       14     0.00         6  [      0.43]
'Elixir.CustomMetricsLogger':connect/1                            1     0.00         6  [      6.00]
net_kernel:dflag_unicode_io/1                                    12     0.00         6  [      0.50]
'Elixir.Inspect.Algebra':flex_break/1                            88     0.00         7  [      0.08]
'Elixir.Inspect.Algebra':flex_glue/2                             88     0.00         7  [      0.08]
unicode:characters_to_binary_int/3                               12     0.00         7  [      0.58]
'Elixir.Enum':zip/1                                              22     0.00         7  [      0.32]
'Elixir.System':get_env/2                                         1     0.00         7  [      7.00]
gen_server:try_dispatch/3                                        13     0.00         7  [      0.54]
'Elixir.CustomMetricsLogger':connect/2                            1     0.00         7  [      7.00]
gen_udp:send/4                                                   22     0.00         8  [      0.36]
inet_gethost_native:getit/4                                      22     0.00         8  [      0.36]
